instance_id,target_text,prediction_valid,prediction_error,row_type,span_match_type,auto_flags,gold_span,predicted_span,gold_functions,predicted_functions,gold_necessity,predicted_necessity,gold_bias_status,predicted_bias_status,gold_bias_mechanisms,predicted_bias_mechanisms,gold_span_stance,predicted_span_stance,gold_speaker_stance,predicted_speaker_stance,gold_context_sufficient,predicted_context_sufficient,error_category,review_notes
zh_seed_0009,女性更细心，所以更适合做护士,True,,MATCHED_SPAN,OVERLAP,SPAN_BOUNDARY_MISMATCH|FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_MECHANISM_MISMATCH,女性更细心，所以更适合做护士,更适合做护士,"[""GROUP_GENERALIZATION""]","[""CAUSAL"", ""CATEGORY_CONSTRUCTION""]",INCIDENTAL,HARMFUL_OR_MISLEADING,EXPLICIT,EXPLICIT,"[""POSITIVE_STEREOTYPE"", ""PRESCRIPTIVE_ROLE_NORM""]","[""STEREOTYPE_ASSOCIATION"", ""PRESCRIPTIVE_ROLE_NORM""]",ENDORSE,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0009,女性更细心，所以更适合做护士,True,,PREDICTED_ONLY,UNMATCHED,UNMATCHED_PREDICTED_SPAN,,女性,,"[""IDENTIFICATION"", ""GENERIC_REFERENCE""]",,HARMFUL_OR_MISLEADING,,EXPLICIT,,"[""STEREOTYPE_ASSOCIATION"", ""ESSENTIALIST_GENERALIZATION""]",,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0009,女性更细心，所以更适合做护士,True,,PREDICTED_ONLY,UNMATCHED,UNMATCHED_PREDICTED_SPAN,,更细心,,"[""EXPLANATORY""]",,HARMFUL_OR_MISLEADING,,EXPLICIT,,"[""STEREOTYPE_ASSOCIATION"", ""ESSENTIALIST_GENERALIZATION"", ""POSITIVE_STEREOTYPE""]",,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0010,女性服用该药后更容易出现不良反应,True,,MATCHED_SPAN,OVERLAP,SPAN_BOUNDARY_MISMATCH|FUNCTION_MISMATCH|BIAS_STATUS_MISMATCH,女性服用该药后更容易出现不良反应,女性,"[""DEMOGRAPHIC_STATISTICAL"", ""BIOLOGICAL_MEDICAL"", ""COMPARATIVE""]","[""BIOLOGICAL_MEDICAL"", ""DEMOGRAPHIC_STATISTICAL""]",RELEVANT,RELEVANT,IMPLICIT,POTENTIAL,"[""STATISTICAL_OVERGENERALIZATION""]","[""STATISTICAL_OVERGENERALIZATION""]",NEUTRAL_REPORT,NEUTRAL_REPORT,NEUTRAL_REPORT,NEUTRAL_REPORT,True,True,,
zh_seed_0011,在这项研究的样本中，女性参与者的不良反应率高于男性参与者,True,,MATCHED_SPAN,EXACT,SPAN_STANCE_MISMATCH,男性参与者,男性参与者,"[""DEMOGRAPHIC_STATISTICAL"", ""COMPARATIVE""]","[""DEMOGRAPHIC_STATISTICAL"", ""COMPARATIVE""]",ESSENTIAL,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,NEUTRAL_REPORT,NEUTRAL_REPORT,True,True,,
zh_seed_0011,在这项研究的样本中，女性参与者的不良反应率高于男性参与者,True,,MATCHED_SPAN,EXACT,SPAN_STANCE_MISMATCH,女性参与者,女性参与者,"[""DEMOGRAPHIC_STATISTICAL"", ""COMPARATIVE""]","[""DEMOGRAPHIC_STATISTICAL"", ""COMPARATIVE""]",ESSENTIAL,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,NEUTRAL_REPORT,NEUTRAL_REPORT,True,True,,
zh_seed_0012,他说“女人就该顾家”，但语气让人难以判断他是在讽刺还是认同,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_STATUS_MISMATCH|SPEAKER_STANCE_MISMATCH|CONTEXT_SUFFICIENCY_MISMATCH,女人就该顾家,女人就该顾家,"[""DIRECT_QUOTATION"", ""GROUP_GENERALIZATION""]","[""DIRECT_QUOTATION""]",UNDETERMINED,ESSENTIAL,INSUFFICIENT_CONTEXT,POTENTIAL,"[""PRESCRIPTIVE_ROLE_NORM""]","[""PRESCRIPTIVE_ROLE_NORM""]",UNCLEAR,UNCLEAR,UNCLEAR,NEUTRAL_REPORT,False,True,,
zh_seed_0012,他说“女人就该顾家”，但语气让人难以判断他是在讽刺还是认同,True,,PREDICTED_ONLY,UNMATCHED,UNMATCHED_PREDICTED_SPAN|SPEAKER_STANCE_MISMATCH|CONTEXT_SUFFICIENCY_MISMATCH,,他说,,"[""IDENTIFICATION""]",,ESSENTIAL,,NONE,,[],,REPORT,UNCLEAR,NEUTRAL_REPORT,False,True,,
zh_seed_0013,她是本院第一位女性院长，因此女性天生更擅长管理,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_MECHANISM_MISMATCH,女性天生更擅长管理,女性天生更擅长管理,"[""GROUP_GENERALIZATION""]","[""EXPLANATORY""]",INCIDENTAL,HARMFUL_OR_MISLEADING,EXPLICIT,EXPLICIT,"[""ESSENTIALIST_GENERALIZATION"", ""POSITIVE_STEREOTYPE""]","[""STEREOTYPE_ASSOCIATION"", ""ESSENTIALIST_GENERALIZATION""]",ENDORSE,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0013,她是本院第一位女性院长，因此女性天生更擅长管理,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|NECESSITY_MISMATCH|SPAN_STANCE_MISMATCH,她,她,"[""COREFERENCE"", ""TOPIC_CONTINUITY""]","[""COREFERENCE""]",RELEVANT,ESSENTIAL,NONE,NONE,[],[],NEUTRAL_REPORT,NOT_APPLICABLE,ENDORSE,ENDORSE,True,True,,
zh_seed_0013,她是本院第一位女性院长，因此女性天生更擅长管理,True,,MATCHED_SPAN,OVERLAP,SPAN_BOUNDARY_MISMATCH|FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_STATUS_MISMATCH|BIAS_MECHANISM_MISMATCH|SPAN_STANCE_MISMATCH,第一位女性院长,女性,"[""HISTORICAL_SIGNIFICANCE"", ""REPRESENTATIONAL_VISIBILITY""]","[""CATEGORY_CONSTRUCTION""]",ESSENTIAL,RELEVANT,NONE,IMPLICIT,[],"[""ESSENTIALIST_GENERALIZATION""]",NEUTRAL_REPORT,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0014,男主外、女主内才是理想的家庭分工,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_MECHANISM_MISMATCH,女主内,女主内,"[""GROUP_GENERALIZATION""]","[""CATEGORY_CONSTRUCTION""]",INCIDENTAL,HARMFUL_OR_MISLEADING,EXPLICIT,EXPLICIT,"[""PRESCRIPTIVE_ROLE_NORM""]","[""STEREOTYPE_ASSOCIATION"", ""PRESCRIPTIVE_ROLE_NORM""]",ENDORSE,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0014,男主外、女主内才是理想的家庭分工,True,,MATCHED_SPAN,EXACT,FUNCTION_MISMATCH|NECESSITY_MISMATCH|BIAS_MECHANISM_MISMATCH,男主外,男主外,"[""GROUP_GENERALIZATION""]","[""CATEGORY_CONSTRUCTION""]",INCIDENTAL,HARMFUL_OR_MISLEADING,EXPLICIT,EXPLICIT,"[""PRESCRIPTIVE_ROLE_NORM""]","[""STEREOTYPE_ASSOCIATION"", ""PRESCRIPTIVE_ROLE_NORM""]",ENDORSE,ENDORSE,ENDORSE,ENDORSE,True,True,,
zh_seed_0015,报告记录了受访者的原话：“女人不适合做工程师。”,False,"LLM returned an invalid AnalysisResult for 'zh_seed_0015': 2 validation errors for AnalysisResult
spans.0.functions.1
  Input should be 'IDENTIFICATION', 'DISAMBIGUATION', 'COREFERENCE', 'KINSHIP_RELATION', 'PERSONAL_IDENTITY', 'BIOLOGICAL_MEDICAL', 'REPRODUCTIVE', 'LEGAL_ADMINISTRATIVE', 'DEMOGRAPHIC_STATISTICAL', 'ELIGIBILITY_OR_ACCESS', 'TOPIC_CONTINUITY', 'CONTRASTIVE', 'COMPARATIVE', 'EXPLANATORY', 'CAUSAL', 'CATEGORY_CONSTRUCTION', 'HISTORICAL_SIGNIFICANCE', 'REPRESENTATIONAL_VISIBILITY', 'UNDERREPRESENTED_IDENTITY', 'AFFIRMATIVE_RECOGNITION', 'SOCIAL_INEQUALITY_DESCRIPTION', 'DIRECT_QUOTATION', 'REPORTED_SPEECH', 'METALINGUISTIC_MENTION', 'BIAS_CRITIQUE', 'EDUCATIONAL_EXAMPLE', 'NARRATIVE_CHARACTERIZATION', 'PERSONA_CONSTRUCTION', 'RHETORICAL_EFFECT', 'IRONY_OR_SATIRE', 'VOICE_PRESERVATION', 'GENERIC_REFERENCE', 'GROUP_GENERALIZATION', 'INCIDENTAL_DESCRIPTION', 'UNNECESSARY_MARKING', 'UNKNOWN_FUNCTION' or 'NOT_APPLICABLE' [type=enum, input_value='STEREOTYPE_ASSOCIATION', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/enum
spans.1.functions.1
  Input should be 'IDENTIFICATION', 'DISAMBIGUATION', 'COREFERENCE', 'KINSHIP_RELATION', 'PERSONAL_IDENTITY', 'BIOLOGICAL_MEDICAL', 'REPRODUCTIVE', 'LEGAL_ADMINISTRATIVE', 'DEMOGRAPHIC_STATISTICAL', 'ELIGIBILITY_OR_ACCESS', 'TOPIC_CONTINUITY', 'CONTRASTIVE', 'COMPARATIVE', 'EXPLANATORY', 'CAUSAL', 'CATEGORY_CONSTRUCTION', 'HISTORICAL_SIGNIFICANCE', 'REPRESENTATIONAL_VISIBILITY', 'UNDERREPRESENTED_IDENTITY', 'AFFIRMATIVE_RECOGNITION', 'SOCIAL_INEQUALITY_DESCRIPTION', 'DIRECT_QUOTATION', 'REPORTED_SPEECH', 'METALINGUISTIC_MENTION', 'BIAS_CRITIQUE', 'EDUCATIONAL_EXAMPLE', 'NARRATIVE_CHARACTERIZATION', 'PERSONA_CONSTRUCTION', 'RHETORICAL_EFFECT', 'IRONY_OR_SATIRE', 'VOICE_PRESERVATION', 'GENERIC_REFERENCE', 'GROUP_GENERALIZATION', 'INCIDENTAL_DESCRIPTION', 'UNNECESSARY_MARKING', 'UNKNOWN_FUNCTION' or 'NOT_APPLICABLE' [type=enum, input_value='STEREOTYPE_ASSOCIATION', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/enum",INVALID_INSTANCE,,SCHEMA_OR_GENERATION_FAILURE,,,,,,,,,,,,,REPORT,,True,,,
